rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
264,5.957200050354004,57.92319869995117,19668.719050925927,8.153,204,AA,225
265,6.554200172424316,58.16080093383789,19668.89613425926,7.9830000000000005,204,AA,238
266,6.0346999168396,58.29100036621094,19669.012800925924,8.189,204,AA,226
267,5.776199817657471,58.2859992980957,19669.096412037037,7.932,204,AA,218
268,5.483799934387207,58.33649826049805,19669.186550925926,8.354000000000001,204,AA,212
269,5.461699962615967,58.40380096435547,19669.288194444445,8.23,204,AA,209
270,5.572000026702881,58.561798095703125,19669.387314814816,8.119,204,AA,216
271,5.415299892425537,58.58919906616211,19669.46125,7.845,204,AA,208
272,5.242000102996826,58.590301513671875,19669.54097222222,7.593,204,AA,198
273,4.980800151824951,58.660499572753906,19669.623726851853,7.526,204,AA,187
274,4.6427001953125,58.54280090332031,19669.744930555556,7.611,204,AA,179
275,4.517000198364258,58.891998291015625,19669.888703703702,7.4190000000000005,204,AA,175
276,4.9166998863220215,58.932701110839844,19670.003194444445,7.989,204,AA,185
277,5.173799991607666,58.94049835205078,19670.097962962962,7.564,204,AA,195
278,4.348700046539307,58.383201599121094,19672.30861111111,8.054,204,AA,172
279,4.155300140380859,58.33980178833008,19672.42976851852,,204,AA,167
280,4.786499977111816,58.20830154418945,19672.63351851852,7.913,204,AA,181
281,6.409200191497803,57.98030090332031,19673.457476851854,7.932,204,AA,234
282,5.783299922943115,58.94419860839844,19682.974791666667,7.519,204,AA,219
283,6.076900005340576,58.89459991455078,19683.289097222223,,204,AA,228
284,6.274400234222412,59.00320053100586,19683.34252314815,7.3340000000000005,204,AA,232
285,6.495800018310547,59.03179931640625,19683.391180555554,7.348,204,AA,235
286,6.630199909210205,59.05139923095703,19683.43263888889,,204,AA,240
287,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,204,AA,221
288,5.869500160217285,59.067501068115234,19683.598541666666,,204,AA,222
289,6.074999809265137,59.39590072631836,19683.774791666667,7.644,204,AA,227
290,6.259300231933594,59.507999420166016,19683.833819444444,7.55,204,AA,231
291,5.941999912261963,59.309600830078125,19683.93388888889,7.495,204,AA,224
292,5.551499843597412,59.16559982299805,19684.02965277778,7.828,204,AA,214
293,6.543499946594238,60.081199645996094,19685.29045138889,,204,AA,236
294,6.547800064086914,60.12200164794922,19685.31355324074,,204,AA,237
295,6.564199924468994,60.17020034790039,19685.341608796294,7.371,204,AA,239
296,6.633999824523926,60.32500076293945,19685.397696759257,7.384,204,AA,241
297,4.7891998291015625,60.856300354003906,19686.994618055556,8.892,204,AA,182
298,4.8993000984191895,60.84980010986328,19687.029293981483,8.336,204,AA,184
299,5.076000213623047,60.817298889160156,19687.0784375,8.113,204,AA,192
300,5.236499786376953,60.760799407958984,19687.13505787037,8.065,204,AA,197
301,5.411300182342529,60.698699951171875,19687.2084375,7.984,204,AA,207
